School Name,State Name [Public School] Latest available year,State Name [Public School] 2024-25,School Name [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2024-25,County Name [Public School] 2024-25,County Number [Public School] 2024-25,Web Site URL [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location ZIP [Public School] 2024-25,Mailing Address 1 [Public School] 2024-25,Phone Number [Public School] 2024-25,School Type [Public School] 2024-25,Agency Type [District] 2024-25,Latitude [Public School] 2024-25,Longitude [Public School] 2024-25,State School ID [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Grade 9 offered [Public School] 2024-25,Grade 10 offered [Public School] 2024-25,Grade 11 offered [Public School] 2024-25,Grade 12 offered [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2024-25,Grades 9-12 Students [Public School] 2024-25,Grade 9 Students [Public School] 2024-25,Grade 10 Students [Public School] 2024-25,Grade 11 Students [Public School] 2024-25,Grade 12 Students [Public School] 2024-25,Male Students [Public School] 2024-25,Female Students [Public School] 2024-25,Full-Time Equivalent (FTE) Teachers [Public School] 2024-25,Pupil/Teacher Ratio [Public School] 2024-25
A-TECH HIGH SCHOOL,New York,NEW YORK,A-TECH HIGH SCHOOL,3601913,Kings County,36047,http://www.autohs.com,50 BEDFORD AVE,BROOKLYN,11222,50 BEDFORD AVE,7182189301,3-Career and Technical School,2-Local school district that is a component of a supervisory union,40.722300,-73.953300,NY-331400010000-331400011610,High,1-Yes,1-Yes,1-Yes,1-Yes,444,444,142,138,94,70,394,50,43.34,10.24
A. C. E.,Arizona,ARIZONA,A. C. E.,0400999,Pima County,04019,†,11279 W GRIER RD,MARANA,85653,11279 W GRIER RD,5206824773,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.453107,-111.207690,AZ-4404-5768,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,1.00,0.00
A. C. FLORA HIGH,South Carolina,SOUTH CAROLINA,A. C. Flora High,4500952,Richland County,45079,†,1 Falcon Drive,Columbia,29204,1 Falcon Drive,8037387300,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.016993,-80.983355,SC-4001-007,High,1-Yes,1-Yes,1-Yes,1-Yes,1328,1328,363,352,330,283,668,660,84.76,15.67
A. CRAWFORD MOSLEY HIGH SCHOOL,Florida,FLORIDA,A. CRAWFORD MOSLEY HIGH SCHOOL,1200067,Bay County,12005,http://mhsfins.com/,501 MOSLEY DR,LYNN HAVEN,32444,501 MOSLEY DR,8507674400,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,30.210210,-85.643784,FL-03-0491,High,1-Yes,1-Yes,1-Yes,1-Yes,1864,1864,503,478,404,479,920,944,81.00,23.01
A. G. A. P. E. TEEN PARENT,Minnesota,MINNESOTA,A. G. A. P. E. Teen Parent,2701052,Ramsey County,27123,http://www.spps.org,1037 UNIVERSITY AVE,SAINT PAUL,55104,1037 UNIVERSITY AVE,6517447970,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,44.956160,-93.143664,MN-010625-010625006,High,1-Yes,1-Yes,1-Yes,1-Yes,26,26,1,2,11,12,0,26,5.55,4.68
A. I. PRINCE TECHNICAL HIGH SCHOOL,Connecticut,CONNECTICUT,A. I. Prince Technical High School,0901136,Capitol Planning Region,09110,http://prince.cttech.org/,401 Flatbush Ave.,Hartford,06106,401 Flatbush Ave.,8609517112,3-Career and Technical School,5-State agency providing elementary and/or secondary level instruction,41.742477,-72.706775,CT-9000016-9001516,High,1-Yes,1-Yes,1-Yes,1-Yes,725,725,230,191,180,124,352,369,79.70,9.10
A. PHILIP RANDOLPH ACADEMIES,Florida,FLORIDA,A. PHILIP RANDOLPH ACADEMIES,1200773,Duval County,12031,http://www.duvalschools.org/aprtech,1157 GOLFAIR BLVD,JACKSONVILLE,32209,1157 GOLFAIR BLVD,9049243011,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,30.367913,-81.676863,FL-16-2851,High,1-Yes,1-Yes,1-Yes,1-Yes,349,323,81,104,73,65,152,197,21.00,16.62
A.C.E. HIGH ACADEMY - 06,South Dakota,SOUTH DAKOTA,A.C.E. High Academy - 06,4600307,Custer County,46033,http://www.csd.k12.sd.us,527 Montgomery St,Custer,57730,527 Montgomery St,6056734473,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,43.770220,-103.601672,SD-16001-06,High,1-Yes,1-Yes,1-Yes,1-Yes,16,16,1,2,3,10,11,5,1.00,16.00
A.C.G.C. SECONDARY,Minnesota,MINNESOTA,A.C.G.C. SECONDARY,2702570,Meeker County,27093,http://www.acgc.k12.mn.us/,27250 MINNESOTA HIGHWAY 4,GROVE CITY,56243,27250 MINNESOTA HIGHWAY 4,3202444700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,45.142925,-94.683644,MN-012396-012396300,High,1-Yes,1-Yes,1-Yes,1-Yes,390,263,63,76,56,68,216,174,26.26,14.85
A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,Florida,FLORIDA,A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,1203140,Palm Beach County,12099,http://www.adhus.fau.edu,777 GLADES RD,BOCA RATON,33431,777 GLADES RD,5612973970,1-Regular school,8-Other education agencies,26.374785,-80.096021,FL-72-0011,Other,1-Yes,1-Yes,1-Yes,1-Yes,1326,678,162,155,178,183,599,727,40.00,33.15
A.E. BURLING HIGH SCHOOL,NEW JERSEY,NEW JERSEY,A.E. Burling High School,3403465,Camden County,34007,http://burling.pennsauken.net/,3600 Harris Avenue,Pennsauken,08110,3600 Harris Avenue,8566628505,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,39.937236,-75.081476,NJ-074060-300,High,1-Yes,1-Yes,1-Yes,1-Yes,49,33,5,9,13,6,29,20,8.00,6.13
A.QUINN JONES CENTER,Florida,FLORIDA,A.QUINN JONES CENTER,1200004,Alachua County,12001,http://www.sbac.edu/aqjones,1108 NW 7TH AVE,GAINESVILLE,32601,1108 NW 7TH AVE,3529556840,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,29.658082,-82.335369,FL-01-0052,High,1-Yes,1-Yes,1-Yes,1-Yes,95,47,15,19,10,3,70,25,14.25,6.67
AACPS VIRTUAL ACADEMY,MARYLAND,MARYLAND,AACPS Virtual Academy,2401765,Anne Arundel County,24003,†,241 Peninsula Farm Road,Arnold,21012,241 Peninsula Farm Road,4105441082,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,39.059091,-76.513451,MD-02-024054,Other,1-Yes,1-Yes,1-Yes,1-Yes,384,172,55,40,39,38,186,198,43.40,8.85
AAEC - PARADISE VALLEY,Arizona,ARIZONA,AAEC - Paradise Valley,0401892,Maricopa County,04013,†,3775 E UNION HILLS DR,PHOENIX,85050,3775 E UNION HILLS DR,6022438004,1-Regular school,7-Independent Charter District,33.654305,-112.001380,AZ-4331-6344,High,1-Yes,1-Yes,1-Yes,1-Yes,269,269,61,65,70,73,93,176,13.00,20.69
AAEC - SMCC CAMPUS,Arizona,ARIZONA,AAEC - SMCC Campus,0401588,Maricopa County,04013,http://www.aaechs.com/south-mountain.html,2002 E BASELINE RD,PHOENIX,85042,315 E MULBERRY DR,6023239890,1-Regular school,7-Independent Charter District,33.378982,-112.039907,AZ-85816-5503,High,1-Yes,1-Yes,1-Yes,1-Yes,426,426,92,130,101,103,174,252,20.00,21.30
AAEC ONLINE,ARIZONA,ARIZONA,AAEC Online,0403751,Maricopa County,04013,http://www.aaechs.com,1440 S Longhorn,Mesa,85202,315 E MULBERRY DR,4802223999,1-Regular school,7-Independent Charter District,33.388412,-111.864171,AZ-134379-1001738,High,1-Yes,1-Yes,1-Yes,1-Yes,51,51,5,12,19,15,15,36,7.00,7.29
AAEC SHOW LOW,ARIZONA,ARIZONA,AAEC Show Low,0403832,Navajo County,04017,†,1152 SCHOOL HOUSE LN,SHOW LOW,85901,315 E MULBERRY DR,6022978500,1-Regular school,7-Independent Charter District,34.295513,-110.142789,AZ-91131-1002011,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
AARON COHN REGIONAL YOUTH DETENTION CENTER,Georgia,GEORGIA,Aaron Cohn Regional Youth Detention Center,1303806,Muscogee County,13215,†,7700-B Chattsworth Rd,Midland,31820,7700-B Chattsworth Rd,7065682498,4-Alternative Education School,5-State agency providing elementary and/or secondary level instruction,32.527150,-84.852240,GA-891-1898,High,1-Yes,1-Yes,1-Yes,1-Yes,19,14,6,6,2,0,19,0,6.00,3.17
ABBEVILLE HIGH,South Carolina,SOUTH CAROLINA,Abbeville High,4500011,Abbeville County,45001,†,701 Washington Street,Abbeville,29620,701 Washington Street,8643665916,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.187425,-82.374457,SC-0160-001,High,1-Yes,1-Yes,1-Yes,1-Yes,463,463,141,100,108,114,255,208,31.00,14.94
ABBEVILLE HIGH SCHOOL,Alabama,ALABAMA,Abbeville High School,0100600,Henry County,01067,http://www.abbevillehighschool.com,411 Graball Cutoff,Abbeville,36310,411 Graball Cutoff,3345852065,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,31.581818,-85.278317,AL-034-0020,High,1-Yes,1-Yes,1-Yes,1-Yes,266,192,43,48,50,51,138,128,24.00,11.08
ABBEVILLE HIGH SCHOOL,Louisiana,LOUISIANA,Abbeville High School,2201385,Vermilion Parish,22113,†,1305 Wildcat Dr,Abbeville,70510,1305 Wildcat Dr,3378931874,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,29.983000,-92.105500,LA-057-057001,High,1-Yes,1-Yes,1-Yes,1-Yes,569,569,168,143,119,139,265,304,32.43,17.55
ABBOTSFORD MIDDLE/SENIOR HIGH,Wisconsin,WISCONSIN,Abbotsford Middle/Senior High,5500002,Clark County,55019,http://www.abbotsford.k12.wi.us,307 N 4th Ave,Abbotsford,54405,510 W Hemlock St,7152232386,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,44.949836,-90.331166,WI-0007-0040,High,1-Yes,1-Yes,1-Yes,1-Yes,414,241,47,50,68,76,213,201,27.55,15.03
ABBOTT HOUSE HIGH SCHOOL - 07,South Dakota,SOUTH DAKOTA,Abbott House High School - 07,4601337,Davison County,46035,†,909 Court Merrill St,Mitchell,57301,909 Court Merrill St,6059962486,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,43.701538,-98.030245,SD-17002-07,High,1-Yes,1-Yes,1-Yes,1-Yes,18,18,4,7,5,2,0,18,0.50,36.00
ABBOTT SCHOOL,Texas,TEXAS,ABBOTT SCHOOL,4800006,Hill County,48217,http://www.abbottisd.org,219 S FIRST ST,ABBOTT,76621,P O BOX 226,2545823011,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,31.883393,-97.076850,TX-109901-109901001,Other,1-Yes,1-Yes,1-Yes,1-Yes,284,87,26,25,17,19,156,128,24.22,11.73
ABBY KELLEY FOSTER CHARTER PUBLIC SCHOOL,Massachusetts,MASSACHUSETTS,Abby Kelley Foster Charter Public School,2501247,Worcester County,25027,http://www.akfcs.org,10 New Bond Street,Worcester,01606,10 New Bond Street,5088548400,1-Regular school,7-Independent Charter District,42.305635,-71.801599,MA-0445-04450105,Other,1-Yes,1-Yes,1-Yes,1-Yes,1426,321,80,85,80,76,661,765,125.99,11.32
ABC SECONDARY (ALTERNATIVE),California,CALIFORNIA,ABC Secondary (Alternative),0610232,Los Angeles County,06037,†,12222 Cuesta Dr.,Cerritos,90703,12222 Cuesta Dr.,5622297770,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,33.878561,-118.071222,CA-1964212-1995596,High,1-Yes,1-Yes,1-Yes,1-Yes,17,17,2,2,7,6,10,7,4.02,4.23
ABE DIPLOMA PROGRAM,Minnesota,MINNESOTA,ABE Diploma Program,2702514,Dakota County,27037,http://ce.district196.org/adult/adult-basic-education,4679 144TH STREET WEST,APPLE VALLEY,55124,4679 144TH STREET WEST,9523881980,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,44.741592,-93.160454,MN-010196-010196034,High,1-Yes,1-Yes,1-Yes,1-Yes,40,40,0,0,0,40,24,16,7.24,5.52
ABELARDO MARTINEZ OTERO,Puerto Rico,PUERTO RICO,ABELARDO MARTINEZ OTERO,7201879,Arecibo Municipio,72013,†,VILLA LOS SANTOS CALLE 14 FINAL,ARECIBO,00614,PO BOX 9059,7878792614,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,18.462976,-66.740165,PR-01-15784,High,1-Yes,1-Yes,1-Yes,1-Yes,361,361,78,109,78,96,152,209,32.00,11.28
ABERDEEN HIGH,Maryland,MARYLAND,Aberdeen High,2400679,Harford County,24025,†,251 Paradise Rd,Aberdeen,21001,251 Paradise Rd,4102735500,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.516300,-76.171100,MD-12-120270,High,1-Yes,1-Yes,1-Yes,1-Yes,1396,1396,384,333,347,332,737,658,98.50,14.17
ABERDEEN HIGH SCHOOL,Idaho,IDAHO,ABERDEEN HIGH SCHOOL,1600002,Bingham County,16011,†,268 SOUTH 4TH WEST,ABERDEEN,83210,PO BOX 610,2083974152,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.941254,-112.845456,ID-058-0036,High,1-Yes,1-Yes,1-Yes,1-Yes,213,213,53,59,48,53,110,103,15.81,13.47
ABERDEEN HIGH SCHOOL,Mississippi,MISSISSIPPI,Aberdeen High School,2800009,Monroe County,28095,http://www.asdms.us,205 Hwy 145 North,Aberdeen,39730,PO Box 607,6623698933,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.831538,-88.566035,MS-4820-4820008,High,1-Yes,1-Yes,1-Yes,1-Yes,312,311,67,74,95,75,152,160,27.74,11.25
ABERNATHY H S,Texas,TEXAS,ABERNATHY H S,4800008,Hale County,48189,http://www.abernathyisd.com,505 7TH ST,ABERNATHY,79311,505 7TH ST,8062984902,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.830688,-101.845820,TX-095901-095901001,High,1-Yes,1-Yes,1-Yes,1-Yes,237,237,69,54,49,65,120,117,25.97,9.13
ABILENE H S,Texas,TEXAS,ABILENE H S,4800010,Taylor County,48441,http://www.abileneisd.org,2800 N 6TH ST,ABILENE,79603,2800 N 6TH ST,3256771731,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.456477,-99.756344,TX-221901-221901001,High,1-Yes,1-Yes,1-Yes,1-Yes,1798,1798,573,472,404,349,912,886,113.20,15.88
ABILENE HIGH SCHOOL,Kansas,KANSAS,Abilene High School,2001063,Dickinson County,20041,http://www.abileneschools.org,1300 N Cedar,Abilene,67410,1300 N Cedar,7852631260,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.929200,-97.217800,KS-D0435-6476,High,1-Yes,1-Yes,1-Yes,1-Yes,443,443,122,112,108,101,233,210,41.27,10.73
ABILENE VIRTUAL SCHOOL,KANSAS,KANSAS,Abilene Virtual School,2002154,Dickinson County,20041,http://www.abileneschools.org,1101 N. Mulberry,Abilene,67410,213 North Broadway,7852631922,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.926404,-97.217969,KS-D0435-6472,High,1-Yes,1-Yes,1-Yes,1-Yes,24,23,0,9,3,11,10,14,–,–
ABINGDON HIGH,Virginia,VIRGINIA,Abingdon High,5101736,Washington County,51191,†,705 Thompson Dr,Abingdon,24210,705 Thompson Dr,2767393200,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,36.720882,-81.953916,VA-094-0941030,High,1-Yes,1-Yes,1-Yes,1-Yes,914,914,231,206,226,251,472,442,60.62,15.08
ABINGDON-AVON HIGH SCH,Illinois,ILLINOIS,Abingdon-Avon High Sch,1706274,Knox County,17095,http://www.d276.net/,600 W Martin St,Abingdon,61410,600 W Martin St,3094622338,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.799900,-90.406800,IL-33-048-2760-26-330482760260001,High,1-Yes,1-Yes,1-Yes,1-Yes,278,278,60,73,71,74,141,137,24.40,11.39
ABINGTON HEIGHTS HS,Pennsylvania,PENNSYLVANIA,Abington Heights HS,4205091,Lackawanna County,42069,†,222 Noble Road,Clarks Summit,18411,222 Noble Road,5705855300,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.493400,-75.723500,PA-119350303-5091,High,1-Yes,1-Yes,1-Yes,1-Yes,1115,1115,276,268,303,268,569,546,73.25,15.22
ABINGTON HIGH,Massachusetts,MASSACHUSETTS,Abington High,2500001,Plymouth County,25023,http://www.abingtonps.org,201 Gliniewicz Way,Abington,02351,201 Gliniewicz Way,7819822160,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.119058,-70.954519,MA-0001-00010505,High,1-Yes,1-Yes,1-Yes,1-Yes,530,524,127,138,131,128,267,260,46.87,11.31
ABINGTON SHS,Pennsylvania,PENNSYLVANIA,Abington SHS,4203241,Montgomery County,42091,†,900 Highland Avenue,Abington,19001,900 Highland Avenue,2158844700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.112000,-75.131600,PA-123460302-3241,High,1-Yes,1-Yes,1-Yes,1-Yes,2692,2692,593,671,722,706,1392,1300,156.50,17.20
ABLE CHARTER,CALIFORNIA,CALIFORNIA,ABLE Charter,0613064,San Joaquin County,06077,http://www.ablecharter.com,6515 Inglewood Ave.,Stockton,95207,6515 Inglewood Ave.,2094781600,1-Regular school,7-Independent Charter District,38.010194,-121.316825,CA-0126755-0126755,Other,1-Yes,1-Yes,1-Yes,1-Yes,1186,359,102,97,88,72,594,592,58.09,20.42
ABQ CHARTER ACADEMY,New Mexico,NEW MEXICO,ABQ CHARTER ACADEMY,3500893,Bernalillo County,35001,http://abqcharteracademy.org,405 DR. MARTIN LUTHER KING JR. AVE. NE,ALBUQUERQUE,87102,405 DR. MARTIN LUTHER KING JR. AVE. NE,5052426640,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.086232,-106.642515,NM-35001000-35001090,High,1-Yes,1-Yes,1-Yes,1-Yes,350,350,65,150,55,80,161,189,19.61,17.85
ABQ SCHOOL OF EXCELLENCE,New Mexico,NEW MEXICO,ABQ SCHOOL OF EXCELLENCE,3501071,Bernalillo County,35001,http://www.abqse.org,13201 LOMAS BLVD NE,ALBUQUERQUE,87112,13201 LOMAS BLVD NE,5053127711,1-Regular school,7-Independent Charter District,35.086991,-106.498886,NM-35516000-35516001,Other,1-Yes,1-Yes,1-Yes,1-Yes,1005,205,63,70,38,34,545,460,61.52,16.34
ABQ SIGN LANGUAGE ACADEMY,New Mexico,NEW MEXICO,ABQ SIGN LANGUAGE ACADEMY,3501066,Bernalillo County,35001,http://www.aslacademy.com,620 LOMAS BLVD NW,ALBUQUERQUE,87102,620 LOMAS BLVD NW,5052447553,1-Regular school,7-Independent Charter District,35.091100,-106.653650,NM-35517000-35517001,Other,1-Yes,1-Yes,1-Yes,1-Yes,160,27,4,6,2,15,86,74,19.33,8.28
ABRAHAM CLARK HIGH SCHOOL,New Jersey,NEW JERSEY,Abraham Clark High School,3405650,Union County,34039,http://roselleschools.org/ACHS,122 EAST 6TH AVE,ROSELLE,07203,122 EAST 6TH AVE,9082982000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.653000,-74.261500,NJ-394540-010,High,1-Yes,1-Yes,1-Yes,1-Yes,926,926,207,218,258,243,466,460,61.01,15.18
ABRAHAM LINCOLN ALTERNATIVE,California,CALIFORNIA,Abraham Lincoln Alternative,0602045,Kern County,06029,†,2800 Rosamond Blvd.,Rosamond,93560,2800 Rosamond Blvd.,6612565090,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,34.864731,-118.179847,CA-1563776-1530377,Other,1-Yes,1-Yes,1-Yes,1-Yes,71,55,12,8,14,21,39,32,5.00,14.20
ABRAHAM LINCOLN CONTINUATION,California,CALIFORNIA,Abraham Lincoln Continuation,0605148,Riverside County,06065,http://lincoln.riversideunified.org/,4341 Victoria Ave.,Riverside,92507,4341 Victoria Ave.,9517887371,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,33.971100,-117.366500,CA-3367215-3336955,High,1-Yes,1-Yes,1-Yes,1-Yes,148,148,0,0,46,102,87,61,12.10,12.23
ABRAHAM LINCOLN HIGH,California,CALIFORNIA,Abraham Lincoln High,0605696,Santa Clara County,06085,†,555 Dana Ave.,San Jose,95126,123 Test St,4085356300,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.328352,-121.924068,CA-4369666-4333795,High,1-Yes,1-Yes,1-Yes,1-Yes,1590,1590,382,433,400,375,813,775,80.95,19.64
ABRAHAM LINCOLN HIGH SCHOOL,Colorado,COLORADO,Abraham Lincoln High School,0800305,Denver County,08031,†,2285 SOUTH FEDERAL BOULEVARD,DENVER,80219,2285 SOUTH FEDERAL BOULEVARD,7204235000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.676100,-105.026500,CO-0880-0010,High,1-Yes,1-Yes,1-Yes,1-Yes,965,965,339,243,160,223,502,463,72.64,13.28
ABRAHAM LINCOLN HIGH SCHOOL,New York,NEW YORK,ABRAHAM LINCOLN HIGH SCHOOL,3601906,Kings County,36047,http://www.abrahamlincolnhs.net,2800 OCEAN PKWY,BROOKLYN,11235,2800 OCEAN PKWY,7183337400,1-Regular school,2-Local school district that is a component of a supervisory union,40.582372,-73.968078,NY-332100010000-332100011410,High,1-Yes,1-Yes,1-Yes,1-Yes,2210,2206,651,560,460,535,1206,1004,135.48,16.31
ABRAHAM LINCOLN HIGH SCHOOL,Iowa,IOWA,Abraham Lincoln High School,1900409,Pottawattamie County,19155,http://www.cb-schools.org/,1205 Bonham Ave,Council Bluffs,51503,1205 Bonham Ave,7123286481,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.257675,-95.819433,IA-781476 000-781476 118,High,1-Yes,1-Yes,1-Yes,1-Yes,1333,1333,323,344,330,336,681,652,86.85,15.35
ABRAHAM LINCOLN SENIOR HIGH,California,CALIFORNIA,Abraham Lincoln Senior High,0603139,Los Angeles County,06037,http://lincolnhs.org,3501 North Broadway,Los Angeles,90031,3501 North Broadway,3234414600,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.074678,-118.204031,CA-1964733-1935121,High,1-Yes,1-Yes,1-Yes,1-Yes,913,913,252,207,213,241,476,437,57.89,15.77
ABRAMSON SCI ACADEMY,LOUISIANA,LOUISIANA,Abramson Sci Academy,2202068,Orleans Parish,22071,†,5552 Read Blvd,New Orleans,70127,5552 Read Blvd,5043736264,1-Regular school,7-Independent Charter District,30.028520,-89.971360,LA-WJ1-WJ1001,High,1-Yes,1-Yes,1-Yes,1-Yes,655,652,175,170,156,151,326,329,52.00,12.60
ABRAXAS CONTINUATION HIGH,California,CALIFORNIA,Abraxas Continuation High,0604883,San Diego County,06073,http://www.powayusd.com/pusdahs,12450 Glenoak Rd.,Poway,92064,12450 Glenoak Rd.,8587485900,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,32.974300,-117.060900,CA-3768296-3735842,High,1-Yes,1-Yes,1-Yes,1-Yes,216,216,0,0,12,204,128,86,22.08,9.78
ABSAROKEE HIGH SCHOOL,Montana,MONTANA,Absarokee High School,3000002,Stillwater County,30095,http://hgunderson6.wixsite.com/absarokee-schools,327 S Woodard Ave,Absarokee,59001,327 S Woodard Ave,4063284583,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,45.513868,-109.447207,MT-0862-1126,High,1-Yes,1-Yes,1-Yes,1-Yes,74,74,21,13,26,14,39,35,8.32,8.89
ABSEGAMI HIGH SCHOOL,New Jersey,NEW JERSEY,Absegami High School,3400122,Atlantic County,34001,http://gehrhsdnj.sites.thrillshare.com/o/ahs,201 S  WRANGLEBORO ROAD,GALLOWAY,08205,201 S  WRANGLEBORO ROAD,6096521372,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.480600,-74.516300,NJ-011790-040,High,1-Yes,1-Yes,1-Yes,1-Yes,1130,1130,257,321,234,318,609,520,100.90,11.20
